#"Step";"Potential Energy (kJ/mole)";"Kinetic Energy (kJ/mole)";"Temperature (K)";"Box Volume (nm^3)";"Speed (ns/day)"
31300;-299108.0285210514;29288.724539343733;179.88632077337175;185.25718353232818;688
31400;-299287.962358942;29885.355824022787;183.55072775412074;185.79893343748674;688
31500;-298950.18049859046;30022.318102586825;184.3919265691298;185.45735773143542;687
31600;-299026.44880913734;30066.895884856116;184.66571565919025;185.5027441048919;688
31700;-298587.23213433265;30128.997834931244;185.04713518112473;185.5867546359448;687
31800;-298497.49397515296;30163.05344669777;185.25629890534688;185.47308966200748;687
31900;-298558.690874567;30263.345843291492;185.8722775970975;184.94758116697218;687
32000;-298476.2538628483;30479.758162250277;187.20144492820592;184.99265329266856;687
32100;-298318.8694634342;30437.39685950405;186.94126907507345;184.99265329266856;687
32200;-298215.61689995765;30386.825482902612;186.63066835700337;184.62294710970536;687
32300;-297862.1429009342;30577.803668925626;187.8036236075983;184.62294710970536;687
32400;-298071.5130181217;30598.232076985354;187.92909138480334;184.38522709024622;687
32500;-297621.2655815983;30288.3916514077;186.02610465319782;184.45003706036513;687
32600;-297942.82197808265;30808.720076958765;189.22187256519578;184.46355371521886;687
32700;-297649.51924370765;30786.605623004667;189.08604938339863;184.5742301876526;687
32800;-297470.7836480045;30599.695011663134;187.93807647858455;184.3855846828482;687
32900;-297732.4492974186;31064.73407846084;190.79426663564476;184.43022471314623;687
33000;-297180.1271538639;30518.694028737722;187.4405823395719;184.25086558181195;687
33100;-297084.51350640296;31158.70001427643;191.3713892907876;184.41132674593837;687
33200;-297264.9066948795;31388.178904826695;192.78080926265392;184.6646911311889;687
33300;-296624.604937067;31067.873689950677;190.8135495907221;184.21110130407973;687
33400;-296330.77034234046;31363.511276045465;192.6293049191412;184.5348283699093;687
33500;-295977.5766167545;31266.219700991234;192.03175675840643;184.5481764991324;687
33600;-296028.96455620765;31744.34998111945;194.9683509015576;184.33958185553973;687
33700;-295591.231890192;31494.076804263517;193.43121599107695;184.32677836055288;687
33800;-295423.4914116764;31629.58744773385;194.26349911241144;184.24310033818458;686
33900;-295788.65272759437;31978.158825571998;196.4043647073601;184.31418544567774;686
34000;-295626.1664605045;31936.84326048824;196.15061159552323;184.17734919028948;686
